Scouter Name,Team #,Alliance,Match Number,Quaification Match,Quarterfinal Match,Semifinal Match,Final Match,Starting Level,Hatches Level 1,Hatches Level 2,Hatches Level 3,Cargo Level 1,Cargo Level 2,Cargo Level 3,Endgame Level 1,Endgame Level 2,Endgame Level 3,Robot Disabled,Robot Carry Level 1,Robot Carry Level 2,Robot Carry Level 3
zac,2046,Blue,1,Yes,No,No,No,02,2,2,2,2,2,4,0,0,1,0,0,0,0
ivan,2992,Red,1,Yes,No,No,No,1,0,0,0,3,0,0,0,0,1,0,1,0,0
bella,6885,Red,1,Yes,No,No,No,1,0,0,0,0,0,0,0,0,0,1,0,0,0
mikayla,5803,Blue,2,Yes,No,No,No,2,3,0,0,1,0,0,0,0,1,0,0,0,0
bella,2976,Red,2,Yes,No,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0
zac,4013,Blue,2,Yes,No,No,No,2,0,0,0,4,0,0,1,0,1,0,0,0,0
Alyssa,4499,Red,2,Yes,No,No,No,2,1,0,0,1,0,0,0,1,0,0,0,0,0STOPPER
bella,7461,Red,3,Yes,No,No,No,2,0,0,0,0,0,0,1,0,0,0,0,0,0
mikayla,4910,Blue,3,Yes,No,No,No,2,4,0,0,0,0,0,1,0,1,0,0,0,0
zac,691,Blue,3,Yes,No,No,No,2,3,0,0,0,0,0,1,0,0,0,0,0,0
JVD,1899,Blue,3,Yes,No,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0
mikayla,7607,Blue,4,Yes,No,No,No,2,0,0,0,1,0,0,1,0,1,0,0,0,0
bella,6988,Red,4,Yes,No,No,No,1,2,0,0,5,0,0,1,1,0,0,0,0,0
JVD,6704,Blue,4,Yes,No,No,No,1,0,0,0,0,0,0,1,0,0,0,0,0,0
zac,7447,Blue,4,Yes,No,No,No,2,0,0,0,4,0,0,0,1,0,0,0,0,0
Alyssa,4550,Red,4,Yes,No,No,No,1,0,0,0,2,0,0,0,0,0,0,0,0,0
